,weight_2023,pitax_2023,total_income_2023,weight_2024,pitax_2024,total_income_2024,weight_2025,pitax_2025,total_income_2025,weight_2026,pitax_2026,total_income_2026,weight_2027,pitax_2027,total_income_2027,weight_ref_2027,pitax_ref_2027,total_income_ref_2027,weight_ref_2028,pitax_ref_2028,total_income_ref_2028,weight_ref_2029,pitax_ref_2029,total_income_ref_2029,weight_ref_2030,pitax_ref_2030,total_income_ref_2030,weight_ref_2031,pitax_ref_2031,total_income_ref_2031,weight_ref_2032,pitax_ref_2032,total_income_ref_2032,ETR,ETR_ref
58,"23,681.8244","2,396.0000","15,999.0000","21,096.7491","2,621.0000","15,962.0000","21,096.7491","3,121.0000","17,718.0000","21,096.7491","3,676.0000","19,667.0000","21,096.7491","4,293.0000","21,831.0000","21,096.7491","4,293.0000","21,831.0000","21,096.7491","4,907.0000","24,232.0000","21,096.7491","5,735.0000","26,898.0000","21,096.7491","6,748.0000","29,856.0000","21,096.7491","7,881.0000","33,141.0000","21,096.7491","9,140.0000","36,786.0000",0.1966,0.1966
59,"23,681.8244","2,505.0000","16,374.0000","21,096.7491","2,730.0000","16,338.0000","21,096.7491","3,242.0000","18,135.0000","21,096.7491","3,811.0000","20,129.0000","21,096.7491","4,442.0000","22,344.0000","21,096.7491","4,442.0000","22,344.0000","21,096.7491","5,059.0000","24,802.0000","21,096.7491","5,955.0000","27,530.0000","21,096.7491","6,995.0000","30,558.0000","21,096.7491","8,155.0000","33,919.0000","21,096.7491","9,444.0000","37,650.0000",0.1988,0.1988
60,"23,681.8244","2,598.0000","16,750.0000","21,096.7491","2,823.0000","16,712.0000","21,096.7491","3,346.0000","18,551.0000","21,096.7491","3,927.0000","20,591.0000","21,096.7491","4,572.0000","22,856.0000","21,096.7491","4,572.0000","22,856.0000","21,096.7491","5,218.0000","25,370.0000","21,096.7491","6,150.0000","28,161.0000","21,096.7491","7,216.0000","31,259.0000","21,096.7491","8,404.0000","34,697.0000","21,096.7491","9,724.0000","38,514.0000",0.2000,0.2000
61,"23,681.8244","2,731.0000","17,177.0000","21,096.7491","2,955.0000","17,138.0000","21,096.7491","3,492.0000","19,024.0000","21,096.7491","4,089.0000","21,116.0000","21,096.7491","4,752.0000","23,439.0000","21,096.7491","4,712.0000","23,439.0000","21,096.7491","5,441.0000","26,017.0000","21,096.7491","6,413.0000","28,879.0000","21,096.7491","7,508.0000","32,056.0000","21,096.7491","8,726.0000","35,582.0000","21,096.7491","10,078.0000","39,496.0000",0.2027,0.2010
62,"23,656.4691","2,840.0000","17,599.0000","21,074.1616","3,064.0000","17,559.0000","21,074.1616","3,613.0000","19,490.0000","21,074.1616","4,222.0000","21,634.0000","21,074.1616","4,899.0000","24,014.0000","21,074.1616","4,849.0000","24,014.0000","21,074.1616","5,635.0000","26,655.0000","21,074.1616","6,634.0000","29,588.0000","21,074.1616","7,757.0000","32,842.0000","21,074.1616","9,004.0000","36,455.0000","21,074.1616","10,390.0000","40,465.0000",0.2040,0.2019
63,"23,681.8244","2,938.0000","18,039.0000","21,096.7491","3,160.0000","17,998.0000","21,096.7491","3,718.0000","19,978.0000","21,096.7491","4,337.0000","22,175.0000","21,096.7491","5,024.0000","24,615.0000","21,096.7491","4,936.0000","24,615.0000","21,096.7491","5,805.0000","27,322.0000","21,096.7491","6,824.0000","30,328.0000","21,096.7491","7,962.0000","33,664.0000","21,096.7491","9,226.0000","37,367.0000","21,096.7491","10,629.0000","41,477.0000",0.2041,0.2005
64,"23,681.8244","3,064.0000","18,464.0000","21,096.7491","3,289.0000","18,422.0000","21,096.7491","3,864.0000","20,449.0000","21,096.7491","4,502.0000","22,698.0000","21,096.7491","5,211.0000","25,195.0000","21,096.7491","5,126.0000","25,195.0000","21,096.7491","6,048.0000","27,966.0000","21,096.7491","7,100.0000","31,043.0000","21,096.7491","8,274.0000","34,457.0000","21,096.7491","9,577.0000","38,247.0000","21,096.7491","11,025.0000","42,455.0000",0.2068,0.2035
65,"23,681.8244","3,227.0000","18,915.0000","21,096.7491","3,451.0000","18,872.0000","21,096.7491","4,043.0000","20,948.0000","21,096.7491","4,700.0000","23,252.0000","21,096.7491","5,430.0000","25,810.0000","21,096.7491","5,370.0000","25,810.0000","21,096.7491","6,334.0000","28,649.0000","21,096.7491","7,422.0000","31,800.0000","21,096.7491","8,630.0000","35,298.0000","21,096.7491","9,971.0000","39,181.0000","21,096.7491","11,462.0000","43,491.0000",0.2104,0.2081
66,"23,681.8244","3,335.0000","19,416.0000","21,096.7491","3,558.0000","19,372.0000","21,096.7491","4,161.0000","21,503.0000","21,096.7491","4,830.0000","23,869.0000","21,096.7491","5,574.0000","26,494.0000","21,096.7491","5,551.0000","26,494.0000","21,096.7491","6,536.0000","29,409.0000","21,096.7491","7,644.0000","32,643.0000","21,096.7491","8,875.0000","36,234.0000","21,096.7491","10,241.0000","40,220.0000","21,096.7491","11,761.0000","44,644.0000",0.2104,0.2095
67,"23,681.8244","3,539.0000","19,856.0000","21,096.7491","3,762.0000","19,811.0000","21,096.7491","4,388.0000","21,991.0000","21,096.7491","5,083.0000","24,410.0000","21,096.7491","5,854.0000","27,095.0000","21,096.7491","5,873.0000","27,095.0000","21,096.7491","6,903.0000","30,075.0000","21,096.7491","8,052.0000","33,383.0000","21,096.7491","9,329.0000","37,055.0000","21,096.7491","10,747.0000","41,131.0000","21,096.7491","12,326.0000","45,656.0000",0.2161,0.2168
